id,channel,title,url,published,views,duration,baseline,multiple,views_per_day,vpd_multiple
ZF8ohzWmuzI,Asianometry,"An Interview with Josh Fisher | Inventing VLIW, Multiflow, Itanium, VLIW's Massive Success",https://www.youtube.com/watch?v=ZF8ohzWmuzI,2026-05-01,20701,5304,168542,0.12,207.0,0.09
dX9CGRZwD-w,Branch Education,How are Microchips Made? 🖥️🛠️ CPU Manufacturing Process Steps,https://www.youtube.com/watch?v=dX9CGRZwD-w,2024-05-17,11351925,1668,1973129,5.75,13945.9,5.74
1I1vxu5qIUM,Branch Education,How does Bluetooth Work?,https://www.youtube.com/watch?v=1I1vxu5qIUM,2021-05-19,10352506,1295,1973129,5.25,5425.8,2.24
qs2QcycggWU,Branch Education,How does Starlink Satellite Internet Work?📡☄🖥,https://www.youtube.com/watch?v=qs2QcycggWU,2022-08-19,9643530,1689,1973129,4.89,6646.1,2.74
h9Z4oGN89MU,Branch Education,How do Graphics Cards Work?  Exploring GPU Architecture,https://www.youtube.com/watch?v=h9Z4oGN89MU,2024-10-19,7355568,1710,1973129,3.73,11161.7,4.60
C8YtdC8mxTU,Branch Education,How do Video Game Graphics Work?,https://www.youtube.com/watch?v=C8YtdC8mxTU,2023-12-21,5350264,1260,1973129,2.71,5561.6,2.29
SAaESb4wTCM,Branch Education,How does a Mouse know when you move it?  ||  How Does a Computer Mouse Work?,https://www.youtube.com/watch?v=SAaESb4wTCM,2021-10-16,5348888,724,1973129,2.71,3042.6,1.25
7J7X7aZvMXQ,Branch Education,How does Computer Memory Work? 💻🛠,https://www.youtube.com/watch?v=7J7X7aZvMXQ,2022-11-04,5305984,2133,1973129,2.69,3861.7,1.59
9DnnxvS6BBQ,Branch Education,How do Electron Microscopes Work? 🔬🛠🔬 Taking Pictures of Atoms,https://www.youtube.com/watch?v=9DnnxvS6BBQ,2023-09-25,4718981,1194,1973129,2.39,4498.6,1.85
Kv1Hiv3ox8I,Branch Education,How are Images Compressed?  [46MB ↘↘ 4.07MB] JPEG In Depth,https://www.youtube.com/watch?v=Kv1Hiv3ox8I,2021-12-23,4155319,1127,1973129,2.11,2458.8,1.01
d86ws7mQYIg,Branch Education,How does Computer Hardware Work?  💻🛠🔬  [3D Animated Teardown],https://www.youtube.com/watch?v=d86ws7mQYIg,2023-03-22,3792206,1033,1973129,1.92,3068.1,1.26
wtdnatmVdIg,Branch Education,How do Hard Disk Drives Work?  💻💿🛠,https://www.youtube.com/watch?v=wtdnatmVdIg,2022-12-22,3177418,916,1973129,1.61,2396.2,0.99
16zrEPOsIcI,Branch Education,The Engineering that Runs the Digital World 🛠️⚙️💻 How do CPUs Work?,https://www.youtube.com/watch?v=16zrEPOsIcI,2025-11-15,3023201,2183,1973129,1.53,11322.9,4.66
_Pqfjer8-O4,Branch Education,How do Transistors Build into a CPU?  🖥️🤔  How do Transistors Work? 🖥️🤔,https://www.youtube.com/watch?v=_Pqfjer8-O4,2025-06-21,2406032,1605,1973129,1.22,5811.7,2.39
NKfW8ijmRQ4,Branch Education,How do Smartphone CPUs Work?  ||  Inside the System on a Chip,https://www.youtube.com/watch?v=NKfW8ijmRQ4,2020-11-24,2121948,1496,1973129,1.08,1018.2,0.42
B2482h_TNwg,Branch Education,The $200M Machine that Prints Microchips:  The EUV Photolithography System,https://www.youtube.com/watch?v=B2482h_TNwg,2025-08-30,2117009,2311,1973129,1.07,6154.1,2.54
h-NM1xSSzHQ,Branch Education,How do Computer Keyboards Work? 🤔⌨⌨🛠,https://www.youtube.com/watch?v=h-NM1xSSzHQ,2023-05-11,1829249,669,1973129,0.93,1542.4,0.64
gfOD-Qpl6eg,Branch Education,Technology Size Comparison  🤯🤯  3D Animation,https://www.youtube.com/watch?v=gfOD-Qpl6eg,2022-06-17,1649257,232,1973129,0.84,1089.3,0.45
iOlehM5kNSk,Branch Education,How does Ray Tracing Work in Video Games and Movies?,https://www.youtube.com/watch?v=iOlehM5kNSk,2024-08-17,1554188,1762,1973129,0.79,2152.6,0.89
_ZKNOKHpqE4,Branch Education,The Engineering Inside Wireless Earbuds || How do Wireless Earbuds and Audio Codecs Work?,https://www.youtube.com/watch?v=_ZKNOKHpqE4,2020-12-13,1365866,1061,1973129,0.69,661.4,0.27
VIi04uD8LtY,Branch Education,How Do Noise Canceling Headphones Work?,https://www.youtube.com/watch?v=VIi04uD8LtY,2021-02-19,1194764,372,1973129,0.61,598.3,0.25
X6wJE-4BLM0,Branch Education,Why are Smoke Detectors Radioactive?  And How do Smoke Detectors Work?,https://www.youtube.com/watch?v=X6wJE-4BLM0,2022-09-29,1189610,1139,1973129,0.60,843.7,0.35
aa6YISbAJEA,Branch Education,The Incredible Evolution of Computers,https://www.youtube.com/watch?v=aa6YISbAJEA,2026-02-17,753424,2019,1973129,0.38,4355.1,1.79
5f2xOxRGKqk,Branch Education,The Engineering Puzzle of Storing Trillions of Bits in your Smartphone / SSD using Quantum Mechanics,https://www.youtube.com/watch?v=5f2xOxRGKqk,2020-07-02,708455,455,1973129,0.36,317.8,0.13
-HVKm5fIUA8,Branch Education,How do Scroll Wheels Work? 🖱🛠🔬,https://www.youtube.com/watch?v=-HVKm5fIUA8,2022-02-08,666352,647,1973129,0.34,405.6,0.17
oEC5fIw0bL0,Branch Education,How do Digital and Analog Clocks Work?,https://www.youtube.com/watch?v=oEC5fIw0bL0,2024-01-17,649335,936,1973129,0.33,694.5,0.29
vQesgAtr2e4,Branch Education,How do Video Game Controllers Work?  || Exploring a PS4 Game Controller,https://www.youtube.com/watch?v=vQesgAtr2e4,2020-08-12,487597,555,1973129,0.25,222.9,0.09
YtBysgPOKx4,Branch Education,How does NAND Flash Work?  Reading from TLC : Triple Level Cells  ||  Exploring Solid State Drives,https://www.youtube.com/watch?v=YtBysgPOKx4,2020-09-30,470066,800,1973129,0.24,219.8,0.09
r-SivgEpA1Q,Branch Education,How does this SSD store 8TB of Data?  ||  Inside the Engineering of Solid-State Drive Architecture,https://www.youtube.com/watch?v=r-SivgEpA1Q,2021-03-21,462174,577,1973129,0.23,235.0,0.10
TfhL5kBiQVI,Branch Education,"How does Computer Cache, Memory, and Storage Work? 🖥️💿🛠️",https://www.youtube.com/watch?v=TfhL5kBiQVI,2026-05-28,370498,1647,1973129,0.19,5075.3,2.09
bHXJnY7h6gw,Branch Education,3-Way Light Switches Explained!! Engineering Inside Light Switches and How They Work,https://www.youtube.com/watch?v=bHXJnY7h6gw,2021-07-28,123116,448,1973129,0.06,67.0,0.03
J0NuOlA2xDc,Coderized,Never install locally,https://www.youtube.com/watch?v=J0NuOlA2xDc,2023-04-27,2227001,345,1211854,1.84,1855.8,1.64
q1qKv5TBaOA,Coderized,How principled coders outperform the competition,https://www.youtube.com/watch?v=q1qKv5TBaOA,2023-03-15,1979043,671,1211854,1.63,1592.2,1.40
HlgG395PQWw,Coderized,"The purest coding style, where bugs are near impossible",https://www.youtube.com/watch?v=HlgG395PQWw,2023-09-06,1211854,625,1211854,1.00,1134.7,1.00
ilkZ27TwYVg,Coderized,"Docker is finally easy (no, seriously)",https://www.youtube.com/watch?v=ilkZ27TwYVg,2024-11-20,103054,305,1211854,0.09,164.4,0.14
